Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
  12765   73.4%   73.4%  Handler: free {1}
   1726    9.9%    9.9%  Handler: args
     93    0.5%    0.5%  Handler: next {186}
     72    0.4%    0.4%  Handler: next {118}
     68    0.4%    0.4%  Handler: next {490}
     65    0.4%    0.4%  Handler: next {211}
     61    0.4%    0.4%  Handler: next {517}
     61    0.4%    0.4%  Handler: next {467}
     60    0.3%    0.3%  Handler: next {308}
     56    0.3%    0.3%  Handler: next {538}
     56    0.3%    0.3%  Handler: next {219}
     44    0.3%    0.3%  Handler: next {446}
     38    0.2%    0.2%  Handler: next {544}
     38    0.2%    0.2%  Handler: next {124}
     36    0.2%    0.2%  Handler: next {440}
     36    0.2%    0.2%  Handler: next {380}
     36    0.2%    0.2%  Handler: next {109}
     34    0.2%    0.2%  Stub: StoreGlobalStub {4}
     34    0.2%    0.2%  Handler: next {94}
     34    0.2%    0.2%  Handler: next {278}
     33    0.2%    0.2%  Handler: next {317}
     32    0.2%    0.2%  Handler: next {353}
     32    0.2%    0.2%  Handler: next {139}
     30    0.2%    0.2%  Handler: next {497}
     30    0.2%    0.2%  Handler: next {149}
     27    0.2%    0.2%  Handler: next {419}
     27    0.2%    0.2%  Handler: next {291}
     27    0.2%    0.2%  Handler: next {255}
     26    0.1%    0.1%  Handler: next {527}
     26    0.1%    0.1%  Handler: next {372}
     25    0.1%    0.1%  Handler: next {452}
     25    0.1%    0.1%  Handler: next {285}
     24    0.1%    0.1%  Stub: RecordWriteStub {9}
     24    0.1%    0.1%  Handler: next {474}
     23    0.1%    0.1%  Handler: next {410}
     23    0.1%    0.1%  Handler: next {243}
     23    0.1%    0.1%  Handler: next {174}
     21    0.1%    0.1%  Handler: next {226}
     20    0.1%    0.1%  Handler: next {503}
     19    0.1%    0.1%  Handler: next {341}
     16    0.1%    0.1%  Handler: next {386}
     15    0.1%    0.1%  Stub: RecordWriteStub {15}
     15    0.1%    0.1%  Handler: emit {2}
     14    0.1%    0.1%  Handler: next {262}
     13    0.1%    0.1%  Handler: next {366}
     12    0.1%    0.1%  Handler: super_
     11    0.1%    0.1%  Stub: CallApiCallbackStub
     11    0.1%    0.1%  Handler: next {323}
     11    0.1%    0.1%  Handler: next {156}
     10    0.1%    0.1%  Handler: next {42}
     10    0.1%    0.1%  Handler: next {185}
      9    0.1%    0.1%  Handler: toUpperCase
      9    0.1%    0.1%  Handler: next {83}
      9    0.1%    0.1%  Handler: next {76}
      9    0.1%    0.1%  Handler: next {432}
      9    0.1%    0.1%  Handler: next {41}
      9    0.1%    0.1%  Handler: next {40}
      9    0.1%    0.1%  Handler: next {331}
      9    0.1%    0.1%  Handler: next {328}
      9    0.1%    0.1%  Handler: next {290}
      9    0.1%    0.1%  Handler: next {17}
      9    0.1%    0.1%  Handler: next {16}
      8    0.0%    0.0%  Handler: next {431}
      8    0.0%    0.0%  Handler: next {430}
      8    0.0%    0.0%  Handler: next {427}
      8    0.0%    0.0%  Handler: next {34}
      8    0.0%    0.0%  Handler: next {329}
      8    0.0%    0.0%  Handler: _checkModeProperty
      7    0.0%    0.0%  Handler: next {90}
      7    0.0%    0.0%  Handler: next {547}
      7    0.0%    0.0%  Handler: next {513}
      7    0.0%    0.0%  Handler: next {487}
      7    0.0%    0.0%  Handler: next {462}
      7    0.0%    0.0%  Handler: next {445}
      7    0.0%    0.0%  Handler: next {426}
      7    0.0%    0.0%  Handler: next {400}
      7    0.0%    0.0%  Handler: next {376}
      7    0.0%    0.0%  Handler: next {369}
      7    0.0%    0.0%  Handler: next {325}
      7    0.0%    0.0%  Handler: next {302}
      7    0.0%    0.0%  Handler: next {2}
      7    0.0%    0.0%  Handler: next {251}
      7    0.0%    0.0%  Handler: next {233}
      7    0.0%    0.0%  Handler: next {129}
      7    0.0%    0.0%  Handler: emit {4}
